client_id,client_name,age
CL-0001,Hartono Wijaya Kusuma,34.0
CL-0002,Ravi Chandrasekaran,41.0
CL-0003,Margarethe Voss-Brenner,58.0
CL-0004,Chalermchai Suphanburi,66.0
CL-0005,Aishah binti Rahman,47.0
CL-0006,Nguyen Thi Bao Tran,39.0
CL-0007,Alistair Pemberton-Hale,72.0
CL-0008,Chen Wei Ling,52.0
CL-0009,Andreas Lindqvist,61.0
CL-0010,Priya Nair Menon,29.0
CL-0011,Tan Boon Huat,78.0
CL-0012,Cheung Kwok Wing,71.0
CL-0013,Zhang Meiling,45.0
CL-0014,Lau Chi Ming,63.0
CL-0015,Kim Do-Yoon,38.0
CL-0016,Yamamoto Kenji,55.0
CL-0017,Fong Enterprises Family Office,
CL-0018,Elena Marchetti-Wong,44.0
CL-0019,Abdullah Al-Mansoori,49.0
CL-0020,Grace Adeyemi-Lim,36.0
